Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
Беталок Зок таб. в/о 25мг №14,3,"Чернівецька обл., смт Кельменці, вул.О.Довженка, 2-Б",Чернівецька
Крестор таб. в/о 20мг №28 (14х2) бліст.,10,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-154 м.Кодима, вул.Соборна, 52",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., Подільський р-н, смт Любашівка, вул. Софіївська, 47",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., м.Гайворон, вул.Київська, 7",Кіровоградська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"А-7 Львівська обл., м. Яворів, площа Ринок, 4",Львівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"П-32 м. Львів, вул. Повітряна, 99",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№21 м.Львів, вул.Городоцька, 181  94907d37-9851-11e1-a08b-9c8e992e54ad",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№15 м.Львів, вул.Щирецька, 36 (тц.Європа) 7a941b5d-8555-11e1-8b38-00155d01cd01",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Львівська обл., Львівський р-н с.Сокільники, вул.Стрийська, 20 аптека ",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"с. Стоянка, вул. Дачна, 1-Б, Києво-Святошинський р-н",Київська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"61001, м.Харків, вул.Юріївська,17",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Хмельницький, вул. Курчатова 5/2",Хмельницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., Тульчинський р-н, смт Кирнасівка, вул.Соборна, 39, КП ""Тульчинський районний ЦПМСД",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Немирів, вул. Горького, 96",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-85 м.Тульчин, вул. Леонтовича, 37",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., смт Тростянець, вул.Мічуріна, 73А, 	Аптека №1",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Піщанка, вул. Центральна, 42",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"смт Піщанка, вул. Центральна, 42",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-33 смт Тиврів, вул. Тиверська, 79а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., Шаргородський р-н, с.Джурин, вул.Смавзюка, 18",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"смт Піщанка, вул. Центральна, 42",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,10,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,3,"м. Вінниця, вул. Келецька, 66",Вінницька
Комбогліза XR таб. в/о 5мг/1000мг №28 (7х4)бліст,2,"м. Вінниця, вул. Келецька, 66",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,3,"м. Вінниця, вул. Келецька, 66",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-34 м. Вінниця, вул. Ю.Смірнова 23, / 1-й пр.Український, 6",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,3,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,3,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,3,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Онгліза 5мг таб.№30,1,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"Ф-7 м.Вінниця, вул.Пирогова, 46",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-7 м.Вінниця, вул.Пирогова, 46",Вінницька
Беталок Зок таб. в/о 100мг №30,1,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Ф-124 м. Вінниця, Олега Антонова, 13-В, корп.2, прим.99",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-124 м. Вінниця, Олега Антонова, 13-В, корп.2, прим.99",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-41 м. Вінниця, вул. Чехова, 8А",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"м. Вінниця, пр-т Коцюбинського, 9, прим.58 ",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м. Вінниця, пр-т Коцюбинського, 9, прим.58 ",Вінницька
Беталок Зок таб. в/о 100мг №30,1,"ЗС2 Запоріжжя, вул.Сєдова 3 (Поліклініка)",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",5,"м.Одеса, вул. Балковська, 130",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Черкаська обл. смт.Лисянка вул.Небесної Сотні, 87",Черкаська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Черкаська обл., смт Лисянка, площа Миру, 26 	Аптека №1",Черкаська
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"КФ А-100 Кіровоградська обл., смт Голованівськ, вул.Ринкова, 4-А",Кіровоградська
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,3,"пр-т Леся Курбаса, 2/13, 	м.Київ",
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"вул.Петра Курінного, 2, КНП ""ЦПМСД №3"" м.Києва",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"КА-139 м. Умань, вул. Мазепи, 2А",Черкаська
Беталок Зок таб. в/о 25мг №14,2,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КА-153 м.Біла Церква, б.Олександрійський, 175, прим.2",Київська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"КА-153 м.Біла Церква, б.Олександрійський, 175, прим.2",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-74 Житомирська обл., Хорошівський р-н, смт Нова Борова, вул.Привокзальна, 14",Житомирська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,3,"КФ А-10 м.Житомир, вул.Домбровського, 44-А",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-24 Житомирська обл., Хорошівський р-н, смт Нова Борова, вул.Паркова, 12",Житомирська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КА-70 м. Могилів-Подільський, прт Незалежності, 287",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,2,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КА-45 м. Шаргород, вул. Героїв Майдану, 268-Б",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"м. Калинівка, вул.Незалежності, 55",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-30 м. Козятин, вул. Василя Земляка, 2А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-64 м. Вінниця, Покришкіна, 8-Г, корп.1",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-3 м.Вінниця, вул. Київська, 49",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-3 м.Вінниця, вул. Київська, 49",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-2 м.Вінниця, вул.Героїв Сталінграда, 1",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Теплик, вул. Незалежності, 31",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,5,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Ладижин, вул. Петра Кравчика, 9",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"КФ А-8 смт Крижопіль, Д.Нечая, 10",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",-1,"смт Муровані Курилівці, вул.Комарова, 1/131",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"смт Піщанка, вул. Центральна, 42",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-9 м. Вінниця, вул. Князів Коріатовичів, 184",Вінницька
Онгліза 5мг таб.№30,3,"м. Вінниця, вул. Мічуріна, 32",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"м. Погребище, вул.П.Тичини, 56-А",Вінницька
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"ФР_161 Запоріжжя, пр.Соборний 88 Пн,Пт: 8:00 - 16:00 Сб: 8:00 - 13:00",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"121 Запоріжжя, вул.Сталеварів 25",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"57 Запоріжжя, вул.Ладозька 14",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Кам`янське, пров. Кармелюка,7              ",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, пр-т Перемоги, 30, прим.76 	Аптека №1",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"114 Кривий Ріг, вул.Соборності 38",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-130 м. Умань, вул. Шевченка, 50, корп.8",Черкаська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Умань, вул. Європейська, 8",Черкаська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Умань, вул. Європейська, 8",Черкаська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м.Миколаїв, вул.Адмірала Макарова, 15 (Аптека №2)",Миколаївська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Миколаївська обл.,смт.Веселиново, вул.Ганнівська, буд.71",Миколаївська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Миколаївська обл., м.Первомайськ, вул. Шевченка, 22/2",Миколаївська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"А-7 Львівська обл., Яворівський р-н, м.Новояворівськ, вул.Бандери С., буд.32/6",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"81130, Львівська обл., Пустомитівський р-н, с. Сокільники, вул. Стрийська, 20 склад",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"81130, Львівська обл., Пустомитівський р-н, с. Сокільники, вул. Стрийська, 20 склад",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-22 Львівська обл., м. Стрий, вул. Коссака Гр., 9/65",Львівська
Беталок Зок таб. в/о 100мг №30,1,"м.Київ, вул.Малишка Андрія, 1,  Аптека №1",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1," м.Київ вул. Гната Хоткевича,10  Аптека №32                                        ",
Беталок Зок таб. в/о 50мг №30,1,"КФ А-22 м.Чуднів, вул.Героїв Майдану, 167-Б/2",Житомирська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-109 Житомирська обл., Баранівський р-н, м.Баранівка, вул.Соборна, 2-А",Житомирська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"КФ А-22 м.Чуднів, вул.Героїв Майдану, 167-Б/2",Житомирська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Київська обл., Білоцерківський р-н, м.Тетіїв, вул.Цвіткова, 37",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Хмельницький, вул. Хотовицького, 7",Хмельницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"м. Хотин, вул. Б. Хмельницького, 7",Чернівецька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м. Бар, вул. Соборна, 17",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"А-50 смт Ярмолинцi, вул.Центральна, 8",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вул.Привокзальна,18а м.Кам.-Подільський Хмельницька обл.",Хмельницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
Онгліза 5мг таб.№30,2,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"смт Літин, вул. Соборна, 33/3",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-153 м.Біла Церква, б.Олександрійський, 175, прим.2",Київська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КА-151 м.Біла Церква, б.Олександрійський, 20, прим.192",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Київська обл. м.Біла Церква,вул.ГероївЧорнобиля 8/8",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вул. Пищана 5А м. Біла Церква,Київська обл 09100",Київська
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"КФ А-1 Житомирська обл., смт Ружин, Бурди, 49",Житомирська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м. Фастів, вул. Соборна, 65-А",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Борова,  Київська обл, Фастівський р-н, вул. Миру, 10",Київська
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,1,"КА-45 м. Шаргород, вул. Героїв Майдану, 268-Б",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"КА-45 м. Шаргород, вул. Героїв Майдану, 268-Б",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., Вінницький р-н, м.Гнівань, вул.Соборна, 70",Вінницька
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,1,"КА-42 м. Могилів-Подільський, вул. Стависька, 47",Вінницька
Беталок Зок таб. в/о 100мг №30,1,"Вінницька обл., м.Шаргород, вул.Героїв Майдану 252 Б",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",5,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Беталок Зок таб. в/о 100мг №30,1,"м. Вінниця, вул. Келецька, 66",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"м. Вінниця, вул. Келецька, 66",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"м. Вінниця, вул. Хмельницьке шосе, 75",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",30,"Ф-18 м. Вінниця, вул. Келецька, 103",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",30,"м. Вінниця, вул. Келецька, 66",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"м. Вінниця, вул. Хмельницьке шосе, 75",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"Ф-1 м.Вінниця, пр-т Юності, 71",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",20,"Ф-18 м. Вінниця, вул. Келецька, 103",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м. Вінниця, пр-т Коцюбинського, 9, прим.58 ",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,3,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Ф-41 м. Вінниця, вул. Чехова, 8А",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"Ф-3 м.Вінниця, вул. Київська, 49",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"Ф-7 м.Вінниця, вул.Пирогова, 46",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",4,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",20,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",20,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"Ф-34 м. Вінниця, вул. Ю.Смірнова 23, / 1-й пр.Український, 6",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"Ф-7 м.Вінниця, вул.Пирогова, 46",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,3,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-21 м. Вінниця, вул. Миколаївська, 2",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,3,"м. Вінниця, пр-т Коцюбинського, 9, прим.58 ",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"м.Дніпро, пр-т Героїв, 17, прим.226 (Аптека №4)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"м.Дніпро, вул.Березинська, 28, прим.220 (Аптека №3)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"м.Дніпро, вул.Воскресенська, 4-А (Аптека №4)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м.Дніпро, вул.20-річчя Перемоги, 22 (Аптека №1)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м.Дніпро, вул.Боброва, 1, прим.102 (Аптека №3)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"м.Дніпро, пр-т Слобожанський, 6 (Аптека 1)",
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"м.Дніпро, пр-т Слобожанський, 6 (Аптека 1)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"м.Дніпро, вул.Кондратюка Юрія, 1, прим.256 (Аптека №3)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",500,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",5,"КФ А-112 Івано-Франківська обл., м.Снятин, вул.Шевченка, 12/1",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"Чернівецька обл., Вижницький р-н, с.Іспас, вул.Шевченка, 73 а, прим.2 	Аптека №1",Чернівецька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",100,"вул.Мясоедовська, 32,м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"вул.Дворянська, 10,м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"пер. Обсерваторний, 8,м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",30,"вул.Левитана,62.м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",30,"вул.Давида Ойстраха ,7(Затонского),м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"вул.Академічна, 14,м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"м.Одеса, вул.Гена Іоганна (Боженка), 19, 	Аптечний склад №1",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"вул.Академічна, 14,м.Одеса",Одеська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-17 м. Хмельницький, вул. Степана Бандери, 2а 7fdb32cd-57b1-11ea-97dc-0cc47aff613",Хмельницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"А-22 Львівська обл.. смт. Брюховичі, вул. Сухомлинського, 10 ",Львівська
